level	sensitivity	precision	method	missed_exons_pct	missed_exons_num	missed_exons_total	novel_exons_pct	novel_exons_num	novel_exons_total	missed_introns_pct	missed_introns_num	missed_introns_total	novel_introns_pct	novel_introns_num	novel_introns_total	missed_loci_pct	missed_loci_num	missed_loci_total	novel_loci_pct	novel_loci_num	novel_loci_total	f1
Base	80.2	79.5	helixer	10.9	4135	38029	26.3	9478	36106	11.5	3190	27800	22.4	6720	29944	17.5	1027	5884	17.8	1094	6162	79.84846587351285
Exon	57.9	58.0	helixer	10.9	4135	38029	26.3	9478	36106	11.5	3190	27800	22.4	6720	29944	17.5	1027	5884	17.8	1094	6162	57.949956859361514
Intron	68.6	63.7	helixer	10.9	4135	38029	26.3	9478	36106	11.5	3190	27800	22.4	6720	29944	17.5	1027	5884	17.8	1094	6162	66.05925925925925
Intron chain	21.9	39.7	helixer	10.9	4135	38029	26.3	9478	36106	11.5	3190	27800	22.4	6720	29944	17.5	1027	5884	17.8	1094	6162	28.22824675324675
Transcript	23.8	42.3	helixer	10.9	4135	38029	26.3	9478	36106	11.5	3190	27800	22.4	6720	29944	17.5	1027	5884	17.8	1094	6162	30.461119515885027
Locus	44.3	42.3	helixer	10.9	4135	38029	26.3	9478	36106	11.5	3190	27800	22.4	6720	29944	17.5	1027	5884	17.8	1094	6162	43.276905311778286
